policy,decision_dt,decision_epochs,rk4_substeps,total_defender_reward,total_defender_cost,total_attacker_reward,cumulative_compromised,peak_compromised,final_compromised,final_protected,mean_deception,impulse_events,total_impulse_removed,action_switches
No defense,1.0,50,10,-203.9279425744779,203.9279425744779,159.28667370241277,20.130767620545242,0.7490970795506348,0.20572168347799946,0.7602665192902704,0.0,0,0.0,0
Fixed high patch,1.0,50,10,-78.13652637210016,78.13652637210016,55.50061830877715,7.334369536285263,0.24067397137462224,0.07622724394635393,0.8959469273175299,0.0,0,0.0,0
Fixed high clean,1.0,50,10,-50.50406959071823,50.50406959071823,39.60905898709104,4.1999233495287855,0.3024081422698231,0.009033588269615936,0.7221240238884286,0.0,0,5.551115123125783e-17,0
Rule threshold isolate/deceive/patch,1.0,50,10,-89.06444394270063,89.06444394270063,27.028777008059453,7.8651439831658525,0.2540175888616506,0.09713530980877204,0.8738238640723759,0.3921172839107428,7,0.4980523743612946,13
DDQN learned defender (greedy),1.0,50,10,-21.655685353844582,21.655685353844582,9.655911358965634,1.3858454852796422,0.15090335401556618,0.014972451152366728,0.9372370638799148,0.0,6,0.18930257721175048,34
