iteration,max_control_change,peak_compromised,mean_control,objective
0,1.0,0.5082467993770695,0.3231865469922363,65.08230798665359
1,0.5,0.0966056814501139,0.26608276908218,11.631084933094051
2,0.413294694430669,0.07898758203516695,0.2082031806110396,8.845791052996214
3,0.16802463774921728,0.07432006446550248,0.18599711084781873,8.29830272060313
4,0.06250890036087775,0.0725078250338848,0.17969240484408455,8.109229749333707
5,0.03796270306897653,0.07165665843047436,0.17730262990482692,8.013072750956367
6,0.026460733382808965,0.07124397216686132,0.17654965393153194,7.971232471418388
7,0.017201375378321004,0.07104891239317421,0.17625401216437672,7.950453566972687
8,0.01007811400071068,0.07096335604780345,0.1761571888195427,7.940742546428469
9,0.006011747150802549,0.07092071936621122,0.17611807800562287,7.935899494138
10,0.003574019905415615,0.07089943628025218,0.17610453234744552,7.933560842552709
11,0.0020970390999234256,0.07088880353628804,0.176098835872226,7.932395296120106
12,0.001209636190729113,0.07088348936222608,0.17609670052828705,7.931824114381606
13,0.000693906608183581,0.0708808328244461,0.17609576082282555,7.9315399174904835
14,0.00039536886100577373,0.07087950469284025,0.17609537817823723,7.931399741278685
15,0.00022474429898677872,0.07087884066135478,0.1760952038141858,7.931330104587838
16,0.00012742851406821742,0.07087850865419094,0.17609512837622346,7.93129567096357
17,7.220261239226922e-05,0.07087834265275371,0.17609509352511885,7.93127859069653
18,4.088794514722771e-05,0.07087825965257125,0.176095078032456,7.931270141287459
19,2.3161650470893136e-05,0.07087821815261408,0.17609507094018095,7.931265957031454
20,1.3126510160166305e-05,0.07087819740266896,0.17609506780650847,7.931263888891537
21,7.445956593743475e-06,0.07087818702770483,0.17609506642078468,7.931262866824221
