episode,rollout_length,defender_return,attacker_return,loss,critic_loss,entropy
0,18,-2.3285753279924393,1.11706327740103,-0.3589380979537964,1.7280986309051514,2.9844284057617188
4,18,-2.654938191175461,1.2296349834650755,-0.5148575305938721,1.8139255046844482,2.98866605758667
8,18,-5.968718484044075,3.2311714217066765,3.1032018661499023,12.304256439208984,2.9910788536071777
12,18,-4.995280563831329,2.4305897559970617,1.1905953884124756,7.482297420501709,2.9900765419006348
16,18,-3.7523660585284233,2.0397228468209505,0.2777308523654938,4.052511692047119,2.986477851867676
20,18,-2.0644368678331375,0.4794691938441247,-0.904606282711029,0.638373851776123,2.983013153076172
24,18,-3.4820593148469925,2.2880737483501434,-0.024622280150651932,2.753920078277588,2.9799323081970215
28,18,-4.712875284254551,1.8640931025147438,-0.014059457927942276,4.273529529571533,2.9759602546691895
32,18,-3.2745537869632244,1.6760391676798463,-0.26014429330825806,1.5895594358444214,2.9729485511779785
36,18,-4.130687452852726,2.0066116359084845,-0.10908876359462738,2.933138608932495,2.969717264175415
40,18,-3.2145686894655228,1.9868508279323578,0.042914584279060364,1.447122573852539,2.9671812057495117
44,18,-2.9733366817235947,1.5694317701272666,-0.009380336850881577,0.9608825445175171,2.9654903411865234
48,18,-2.4059336185455322,0.7301703378325328,-0.2615039348602295,0.7863154411315918,2.961897134780884
52,18,-4.168651174753904,2.3917342318454757,0.6034218072891235,2.480785369873047,2.960313558578491
56,18,-4.828680641949177,2.007391704246402,-0.07816901803016663,2.894721269607544,2.9547228813171387
60,18,-3.592043913900852,2.107173313284875,0.45466622710227966,1.3142105340957642,2.9502649307250977
64,18,-3.8361906930804253,1.8157845619134605,0.14182034134864807,1.4660542011260986,2.94399094581604
68,18,-3.6775844767689705,1.8932903693057597,0.29923301935195923,1.211828351020813,2.9418020248413086
72,18,-2.929860483855009,1.0656076408922672,0.37453362345695496,1.024093747138977,2.9376134872436523
76,18,-4.395273718982935,2.4811164991697297,0.7671746015548706,2.3934555053710938,2.9328360557556152
80,18,-3.174176797270775,1.3277887078126582,0.23685958981513977,0.6739798784255981,2.9268031120300293
84,18,-2.148754585534334,0.859580454416573,0.8184106349945068,0.8920340538024902,2.9241275787353516
88,18,-2.7515696361660957,1.9820255944505334,1.0291107892990112,0.7583434581756592,2.918294906616211
92,18,-2.6544043198227882,0.7753199562430382,0.2900037467479706,0.7439121603965759,2.9063639640808105
96,18,-5.573165461421013,2.822816313651856,0.6334577798843384,3.894749641418457,2.8944315910339355
100,18,-2.2061590626835823,0.9960504095070064,0.6558114290237427,0.631256103515625,2.8930411338806152
104,18,-2.7852403819561005,1.48457289673388,0.5077948570251465,0.5088370442390442,2.8770036697387695
108,18,-3.473580338060856,1.4842498956568306,0.24080663919448853,0.6828953623771667,2.868379831314087
112,18,-3.524505563080311,1.8376394712831825,0.294791579246521,0.7467195987701416,2.8726048469543457
116,18,-2.0869980454444885,0.786173858679831,0.8572321534156799,0.569998562335968,2.865610361099243
